,count,mean,std,min,25%,50%,75%,max
ELEVATORS_MODE,143620.0,0.074489736109177,0.1322561441504732,0.0,0.0,0.0,0.1208,1.0
ENTRANCES_MODE,152683.0,0.14519265864569073,0.1009769881602024,0.0,0.069,0.1379,0.2069,1.0
FLOORSMAX_MODE,154491.0,0.2223150474784939,0.1437094065953209,0.0,0.1667,0.1667,0.3333,1.0
FLOORSMIN_MODE,98869.0,0.22805849255074895,0.16115977149541197,0.0,0.0833,0.2083,0.375,1.0
LANDAREA_MODE,124921.0,0.06495768445657654,0.08175027780844098,0.0,0.0166,0.0458,0.0841,1.0
LIVINGAPARTMENTS_MODE,97312.0,0.10564485674942452,0.09788044657878618,0.0,0.0542,0.0771,0.1313,1.0
LIVINGAREA_MODE,153161.0,0.1059750504371217,0.11184526587783401,0.0,0.0427,0.0731,0.1252,1.0
NONLIVINGAPARTMENTS_MODE,93997.0,0.00807638754428333,0.04627626621983214,0.0,0.0,0.0,0.0039,1.0
NONLIVINGAREA_MODE,137829.0,0.02702231968598771,0.07025385904395566,0.0,0.0,0.0011,0.0231,1.0
APARTMENTS_MEDI,151450.0,0.11784992076592933,0.10907590600115749,0.0,0.0583,0.0864,0.1489,1.0
BASEMENTAREA_MEDI,127568.0,0.08795485466574691,0.0821787495146414,0.0,0.0437,0.0758,0.1116,1.0
YEARS_BEGINEXPLUATATION_MEDI,157504.0,0.9777522640694839,0.05989731850511867,0.0,0.9767,0.9816,0.9866,1.0
YEARS_BUILD_MEDI,103023.0,0.7557462721916463,0.11206630964404966,0.0,0.6914,0.7585,0.8256,1.0
COMMONAREA_MEDI,92646.0,0.04459510178529025,0.07614426224091592,0.0,0.0079,0.0208,0.0513,1.0
ELEVATORS_MEDI,143620.0,0.07807784431137725,0.1344671476907157,0.0,0.0,0.0,0.12,1.0
ENTRANCES_MEDI,152683.0,0.1492127807286993,0.10036839449766627,0.0,0.069,0.1379,0.2069,1.0
FLOORSMAX_MEDI,154491.0,0.22589659009262678,0.14506702591938314,0.0,0.1667,0.1667,0.3333,1.0
FLOORSMIN_MEDI,98869.0,0.23162493804933798,0.1619335414572564,0.0,0.0833,0.2083,0.375,1.0
LANDAREA_MEDI,124921.0,0.0671687490493992,0.08216701028006211,0.0,0.0187,0.0487,0.0868,1.0
LIVINGAPARTMENTS_MEDI,97312.0,0.10195447324071032,0.09364233271154587,0.0,0.0513,0.0761,0.1231,1.0
LIVINGAREA_MEDI,153161.0,0.10860673604899417,0.11226025867535099,0.0,0.0457,0.0749,0.1303,1.0
NONLIVINGAPARTMENTS_MEDI,93997.0,0.008651013330212667,0.047414727907790825,0.0,0.0,0.0,0.0039,1.0
NONLIVINGAREA_MEDI,137829.0,0.028235920597261824,0.07016648150680235,0.0,0.0,0.0031,0.0266,1.0
TOTALAREA_MODE,159080.0,0.10254666268544127,0.10746232414961776,0.0,0.0412,0.0688,0.1276,1.0
OBS_30_CNT_SOCIAL_CIRCLE,306490.0,1.4222454239942575,2.400988746111826,0.0,0.0,0.0,2.0,348.0
DEF_30_CNT_SOCIAL_CIRCLE,306490.0,0.1434206662533851,0.4466984293825373,0.0,0.0,0.0,0.0,34.0
OBS_60_CNT_SOCIAL_CIRCLE,306490.0,1.4052921791901856,2.3798033519768955,0.0,0.0,0.0,2.0,344.0
DEF_60_CNT_SOCIAL_CIRCLE,306490.0,0.10004894123788705,0.36229080397523755,0.0,0.0,0.0,0.0,24.0
DAYS_LAST_PHONE_CHANGE,307510.0,-962.8587883320868,826.8084870404405,-4292.0,-1570.0,-757.0,-274.0,0.0
FLAG_DOCUMENT_2,307511.0,4.2274910491006824e-05,0.006501789045473359,0.0,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_3,307511.0,0.7100233812774177,0.45375196843225896,0.0,0.0,1.0,1.0,1.0
FLAG_DOCUMENT_4,307511.0,8.129790479039775e-05,0.009016183216502365,0.0,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_5,307511.0,0.015114906458630749,0.1220102228137952,0.0,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_6,307511.0,0.0880553866365756,0.2833758928634348,0.0,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_7,307511.0,0.00019186305530533867,0.013850157676953384,0.0,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_8,307511.0,0.08137595077899652,0.27341204894479115,0.0,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_9,307511.0,0.00389579559755586,0.062294710800275266,0.0,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_10,307511.0,2.276341334131137e-05,0.004771055354074948,0.0,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_11,307511.0,0.003912055178513939,0.06242406326687307,0.0,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_12,307511.0,6.503832383231819e-06,0.002550257091605682,0.0,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_13,307511.0,0.003525077151711646,0.059267718073907814,0.0,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_14,307511.0,0.0029364803210291664,0.054109767376285214,0.0,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_15,307511.0,0.0012097128232811183,0.03475993882766619,0.0,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_16,307511.0,0.009928100133003373,0.09914416233781621,0.0,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_17,307511.0,0.0002666571277125046,0.016327488741600966,0.0,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_18,307511.0,0.008129790479039774,0.08979823610939226,0.0,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_19,307511.0,0.0005951006630657115,0.024387465065840774,0.0,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_20,307511.0,0.0005072989258920819,0.022517620268457914,0.0,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_21,307511.0,0.0003349473677364387,0.01829853182241794,0.0,0.0,0.0,0.0,1.0
AMT_REQ_CREDIT_BUREAU_HOUR,265992.0,0.006402448193930645,0.08384912844777125,0.0,0.0,0.0,0.0,4.0
AMT_REQ_CREDIT_BUREAU_DAY,265992.0,0.0070002105326475985,0.11075740632418819,0.0,0.0,0.0,0.0,9.0
AMT_REQ_CREDIT_BUREAU_WEEK,265992.0,0.0343619356973142,0.20468487581284914,0.0,0.0,0.0,0.0,8.0
AMT_REQ_CREDIT_BUREAU_MON,265992.0,0.26739526000781977,0.9160023961540442,0.0,0.0,0.0,0.0,27.0
AMT_REQ_CREDIT_BUREAU_QRT,265992.0,0.26547414959848414,0.7940556483196873,0.0,0.0,0.0,0.0,261.0
AMT_REQ_CREDIT_BUREAU_YEAR,265992.0,1.899974435321363,1.869294998182222,0.0,0.0,1.0,3.0,25.0
